Distribution Network Service Provider,energy_asset,Zone Substation Name,Zone Substation ID,Zone Substation Area (km2),Dwellings,Persons,Residential,Commercial,Industrial,Primary Production,Education,Hospital/Medical,Transport,Parkland,Water,Other
ActewAGL,AA_BZS,Belconnen Zone,BZS,38,14964,36644,0.333,0.025,0.016,0,0.086,0.005,0,0.507,0.029,0
ActewAGL,AA_CEZS,City East Zone,CEZS,64,16482,35028,0.255,0.042,0,0.237,0.029,0,0,0.276,0.001,0.16
ActewAGL,AA_CZS,Civic Zone,CZS,80,7889,20683,0.174,0.059,0,0.49,0.027,0,0,0.228,0.023,0
ActewAGL,AA_FWZS,Fyshwick Zone,FWZS,41,5577,11272,0.122,0.112,0.115,0.417,0.003,0.002,0.001,0.205,0,0.025
ActewAGL,AA_GCZS,Gold Creek Zone,GCZS,70,24211,66018,0.424,0.018,0.014,0.25,0.011,0,0,0.17,0.006,0.107
ActewAGL,AA_GZS,Gilmore Zone,GZS,80,11819,31993,0.191,0.02,0.078,0.393,0.006,0,0.007,0.181,0.001,0.122
ActewAGL,AA_LZS,Latham Zone,LZS,129,24330,60266,0.197,0.008,0.01,0.342,0.011,0,0,0.211,0.001,0.22
ActewAGL,AA_TPZS,Telopea Park Zone,TPZS,30,13423,26151,0.385,0.086,0.014,0.001,0.067,0.001,0,0.317,0.103,0.027
ActewAGL,AA_TZS,Theodore Zone,TZS,137,11872,31584,0.107,0.001,0,0.69,0.004,0,0,0.062,0.001,0.134
ActewAGL,AA_WAZS,Wanniassa Zone,WAZS,1126,22933,53994,0.026,0.002,0,0.184,0.001,0,0,0.779,0.004,0.004
ActewAGL,AA_WOZS,Woden Zone,WOZS,221,20294,47834,0.106,0.011,0,0.294,0.011,0.001,0.002,0.497,0.006,0.072
Ausgrid,AG_ABERDEEN 66,ABERDEEN 66,ABERDEEN 66,250,1138,2569,0.012,0,0.001,0.953,0,0,0,0.034,0,0
Ausgrid,AG_ADAMSTOWN 132,ADAMSTOWN 132,ADAMSTOWN 132,7,5707,13274,0.571,0.026,0.004,0,0.023,0,0.037,0.34,0,0
Ausgrid,AG_ARGENTON 132/11,ARGENTON 132/11,ARGENTON 132/11,36,6888,16279,0.252,0.02,0.086,0.014,0.018,0,0,0.206,0,0.405
Ausgrid,AG_ARNCLIFFE,ARNCLIFFE,ARNCLIFFE,5,10043,25877,0.672,0.033,0.069,0,0.019,0,0.026,0.18,0,0
Ausgrid,AG_AUBURN,AUBURN,AUBURN,2,1957,5710,0.298,0.003,0.593,0,0.024,0,0.082,0,0,0
Ausgrid,AG_AVOCA,AVOCA,AVOCA,40,16311,34723,0.372,0.005,0.022,0,0.009,0,0,0.239,0.016,0.336
Ausgrid,AG_AVONDALE 33,AVONDALE 33,AVONDALE 33,125,3381,8176,0.068,0,0.063,0.193,0.019,0,0,0.118,0.017,0.522
Ausgrid,AG_BALGOWLAH NORTH,BALGOWLAH NORTH,BALGOWLAH NORTH,14,13118,33865,0.577,0.004,0.009,0,0.018,0.001,0,0.37,0.021,0
Ausgrid,AG_BANKSTOWN,BANKSTOWN,BANKSTOWN,11,13069,39203,0.637,0.009,0.212,0,0.025,0.001,0,0.117,0,0
Ausgrid,AG_BASS HILL,BASS HILL,BASS HILL,9,6888,21684,0.601,0.115,0.041,0,0.026,0.005,0,0.213,0,0
Ausgrid,AG_BEACON HILL,BEACON HILL,BEACON HILL,8,5201,15037,0.562,0.086,0.001,0,0.046,0.013,0,0.168,0,0.124
Ausgrid,AG_BELROSE,BELROSE,BELROSE,15,7041,20692,0.724,0,0,0,0.023,0.004,0,0.108,0,0.142
Ausgrid,AG_BEROWRA,BEROWRA,BEROWRA,52,6204,18035,0.158,0.002,0.019,0,0.004,0,0,0.805,0,0.012
